sample_id,instrument_id,instrument_type,date,test_type,duration_min,turnaround_hours,result,operator,product_family,manual_entry,automation_phase,downtime_flag,downtime_reason
S2024-00055,BAL_01,Analytical_Balance,2024-01-03,pH Check,43.0,39.3,pass,EL,Reagent_A,1,Before_Automation,0,
S2024-00056,BAL_01,Analytical_Balance,2024-01-03,Endotoxin,43.6,28.6,pass,CF,Reagent_B,0,Before_Automation,0,
S2024-00057,BAL_01,Analytical_Balance,2024-01-03,Endotoxin,63.8,22.2,pass,CF,Reagent_A,1,Before_Automation,0,
S2024-00058,BAL_01,Analytical_Balance,2024-01-03,pH Check,58.1,28.2,pass,EL,Reagent_B,1,Before_Automation,0,
S2024-00059,PH_01,pH_Meter,2024-01-03,Impurity,27.9,28.0,fail,CF,Media_X,1,Before_Automation,0,
S2024-00060,PH_01,pH_Meter,2024-01-03,Weigh,31.6,40.3,pass,AD,Reagent_A,0,Before_Automation,0,
S2024-00061,LUM_01,Luminometer,2024-01-03,Impurity,40.7,35.8,pass,EL,Reagent_B,0,Before_Automation,0,
S2024-00062,LUM_01,Luminometer,2024-01-03,Assay,44.1,34.0,pass,BR,Media_X,0,Before_Automation,0,
S2024-00063,LUM_01,Luminometer,2024-01-03,Endotoxin,50.5,34.6,pass,BR,Reagent_A,0,Before_Automation,0,
S2024-00064,HPLC_01,HPLC,2024-01-04,Endotoxin,40.2,30.5,pass,CF,Reagent_A,1,Before_Automation,0,
S2024-00065,HPLC_01,HPLC,2024-01-04,pH Check,48.5,26.5,pass,EL,Reagent_B,0,Before_Automation,0,
S2024-00066,HPLC_01,HPLC,2024-01-04,Endotoxin,43.6,28.9,pass,BR,Media_Y,1,Before_Automation,0,
S2024-00067,HPLC_02,HPLC,2024-01-04,Weigh,42.8,33.9,pass,DG,Reagent_A,1,Before_Automation,0,
S2024-00068,HPLC_02,HPLC,2024-01-04,pH Check,59.8,28.4,pass,EL,Media_Y,0,Before_Automation,0,
S2024-00069,HPLC_02,HPLC,2024-01-04,pH Check,6.3,29.3,pass,DG,Reagent_B,0,Before_Automation,0,
S2024-00070,UV_01,UV_Spectrometer,2024-01-04,Endotoxin,77.9,27.8,pass,BR,Reagent_A,0,Before_Automation,0,
S2024-00071,UV_01,UV_Spectrometer,2024-01-04,Endotoxin,42.6,28.8,pass,EL,Media_Y,1,Before_Automation,0,
S2024-00072,UV_01,UV_Spectrometer,2024-01-04,pH Check,58.1,26.4,pass,EL,Reagent_A,1,Before_Automation,0,
S2024-00073,UV_01,UV_Spectrometer,2024-01-04,Assay,45.6,30.8,pass,CF,Media_Y,0,Before_Automation,0,
S2024-00074,BAL_01,Analytical_Balance,2024-01-04,pH Check,47.8,35.4,pass,DG,Media_X,0,Before_Automation,0,
S2024-00075,BAL_01,Analytical_Balance,2024-01-04,pH Check,38.9,31.4,pass,BR,Media_Y,1,Before_Automation,0,
S2024-00076,BAL_01,Analytical_Balance,2024-01-04,pH Check,12.9,33.4,pass,BR,Reagent_B,0,Before_Automation,0,
S2024-00077,BAL_01,Analytical_Balance,2024-01-04,Weigh,59.9,30.4,pass,AD,Media_Y,1,Before_Automation,0,
S2024-00078,BAL_01,Analytical_Balance,2024-01-04,Weigh,50.0,27.9,pass,EL,Media_X,0,Before_Automation,0,
S2024-00079,BAL_01,Analytical_Balance,2024-01-04,Impurity,28.8,25.1,fail,EL,Media_Y,0,Before_Automation,0,
S2024-00080,BAL_01,Analytical_Balance,2024-01-04,pH Check,49.4,34.1,pass,AD,Media_X,0,Before_Automation,0,
S2024-00081,BAL_01,Analytical_Balance,2024-01-04,Assay,45.8,30.7,pass,CF,Media_X,0,Before_Automation,0,
S2024-00082,PH_01,pH_Meter,2024-01-04,Assay,31.5,28.8,pass,DG,Reagent_A,0,Before_Automation,0,
S2024-00083,PH_01,pH_Meter,2024-01-04,Endotoxin,53.4,39.9,pass,DG,Media_X,1,Before_Automation,0,
S2024-00084,PH_01,pH_Meter,2024-01-04,Assay,59.9,35.2,fail,DG,Media_X,0,Before_Automation,0,
S2024-00085,LUM_01,Luminometer,2024-01-04,Impurity,43.5,23.1,fail,DG,Media_X,1,Before_Automation,0,
S2024-00086,HPLC_01,HPLC,2024-01-05,Weigh,31.1,27.3,pass,EL,Media_X,1,Before_Automation,0,
S2024-00087,HPLC_01,HPLC,2024-01-05,Impurity,50.8,29.3,pass,DG,Media_X,0,Before_Automation,0,
S2024-00088,HPLC_01,HPLC,2024-01-05,pH Check,29.8,32.8,pass,AD,Reagent_B,0,Before_Automation,0,
S2024-00089,HPLC_01,HPLC,2024-01-05,Assay,47.1,32.7,pass,AD,Media_Y,1,Before_Automation,0,
S2024-00090,HPLC_01,HPLC,2024-01-05,Weigh,49.3,31.2,pass,BR,Media_Y,0,Before_Automation,0,
S2024-00091,HPLC_01,HPLC,2024-01-05,Endotoxin,36.7,28.3,pass,AD,Media_Y,0,Before_Automation,0,
S2024-00092,HPLC_01,HPLC,2024-01-05,Endotoxin,38.7,32.1,pass,BR,Media_X,0,Before_Automation,0,
S2024-00093,HPLC_02,HPLC,2024-01-05,pH Check,45.0,33.2,pass,BR,Reagent_A,1,Before_Automation,0,
S2024-00094,HPLC_02,HPLC,2024-01-05,Weigh,38.4,36.1,pass,EL,Media_X,0,Before_Automation,0,
S2024-00095,HPLC_02,HPLC,2024-01-05,Endotoxin,6.0,22.1,pass,AD,Media_X,0,Before_Automation,0,
S2024-00096,HPLC_02,HPLC,2024-01-05,Weigh,43.3,34.4,pass,BR,Reagent_A,1,Before_Automation,0,
S2024-00097,HPLC_02,HPLC,2024-01-05,pH Check,43.3,21.2,pass,CF,Reagent_B,0,Before_Automation,0,
S2024-00098,HPLC_02,HPLC,2024-01-05,Weigh,60.3,29.6,fail,CF,Media_Y,1,Before_Automation,0,
S2024-00099,UV_01,UV_Spectrometer,2024-01-05,Assay,24.4,30.0,pass,EL,Reagent_A,0,Before_Automation,0,
S2024-00100,UV_01,UV_Spectrometer,2024-01-05,Weigh,31.2,32.5,pass,BR,Reagent_B,0,Before_Automation,0,
S2024-00101,BAL_01,Analytical_Balance,2024-01-05,Assay,40.5,29.2,pass,CF,Reagent_B,0,Before_Automation,0,
S2024-00102,BAL_01,Analytical_Balance,2024-01-05,Endotoxin,34.4,24.0,pass,BR,Media_X,0,Before_Automation,0,
S2024-00103,BAL_01,Analytical_Balance,2024-01-05,Weigh,33.9,33.4,pass,DG,Reagent_B,0,Before_Automation,0,
S2024-00104,BAL_01,Analytical_Balance,2024-01-05,pH Check,53.2,36.7,pass,EL,Reagent_A,0,Before_Automation,0,
S2024-00105,PH_01,pH_Meter,2024-01-05,Assay,51.2,37.1,pass,DG,Media_X,1,Before_Automation,0,
S2024-00106,PH_01,pH_Meter,2024-01-05,Impurity,57.7,40.5,fail,EL,Reagent_A,0,Before_Automation,0,
S2024-00107,PH_01,pH_Meter,2024-01-05,Weigh,27.1,30.9,pass,DG,Media_Y,1,Before_Automation,0,
S2024-00108,PH_01,pH_Meter,2024-01-05,Assay,52.5,30.9,pass,AD,Media_Y,1,Before_Automation,0,
S2024-00109,PH_01,pH_Meter,2024-01-05,Weigh,48.8,31.4,pass,EL,Media_X,1,Before_Automation,0,
S2024-00110,PH_01,pH_Meter,2024-01-05,Impurity,30.8,30.2,pass,DG,Reagent_B,1,Before_Automation,0,
S2024-00111,PH_01,pH_Meter,2024-01-05,Impurity,41.3,31.3,pass,BR,Reagent_B,1,Before_Automation,0,
S2024-00112,LUM_01,Luminometer,2024-01-05,Assay,22.9,25.5,pass,BR,Reagent_B,0,Before_Automation,0,
S2024-00113,HPLC_01,HPLC,2024-01-06,Assay,23.7,29.6,pass,DG,Reagent_A,0,Before_Automation,0,
S2024-00114,HPLC_01,HPLC,2024-01-06,Assay,35.2,28.9,pass,DG,Media_X,0,Before_Automation,0,
S2024-00115,HPLC_01,HPLC,2024-01-06,Endotoxin,37.0,31.2,pass,AD,Reagent_A,0,Before_Automation,0,
S2024-00116,HPLC_02,HPLC,2024-01-06,Impurity,35.5,27.0,fail,DG,Media_X,0,Before_Automation,0,
S2024-00117,UV_01,UV_Spectrometer,2024-01-06,pH Check,13.7,25.3,pass,AD,Media_X,0,Before_Automation,1,maintenance
S2024-00118,UV_01,UV_Spectrometer,2024-01-06,pH Check,79.1,33.5,pass,BR,Reagent_A,0,Before_Automation,1,maintenance
S2024-00119,UV_01,UV_Spectrometer,2024-01-06,pH Check,50.3,34.0,fail,BR,Media_Y,0,Before_Automation,1,maintenance
S2024-00120,BAL_01,Analytical_Balance,2024-01-06,Impurity,63.8,22.5,pass,DG,Reagent_B,1,Before_Automation,0,
S2024-00121,BAL_01,Analytical_Balance,2024-01-06,Endotoxin,56.5,34.0,pass,DG,Media_Y,1,Before_Automation,0,
S2024-00122,PH_01,pH_Meter,2024-01-06,Endotoxin,37.7,27.5,pass,BR,Media_Y,1,Before_Automation,0,
S2024-00123,PH_01,pH_Meter,2024-01-06,Assay,40.0,35.3,pass,DG,Reagent_A,0,Before_Automation,0,
S2024-00124,PH_01,pH_Meter,2024-01-06,pH Check,34.7,25.6,pass,BR,Media_Y,0,Before_Automation,0,
S2024-00125,PH_01,pH_Meter,2024-01-06,Assay,49.7,27.1,pass,BR,Reagent_A,0,Before_Automation,0,
S2024-00126,LUM_01,Luminometer,2024-01-06,Weigh,48.8,32.1,pass,CF,Reagent_A,0,Before_Automation,0,
S2024-00127,HPLC_01,HPLC,2024-01-07,Weigh,24.8,22.5,pass,EL,Media_X,0,Before_Automation,0,
S2024-00128,UV_01,UV_Spectrometer,2024-01-07,pH Check,19.2,35.5,pass,CF,Reagent_B,1,Before_Automation,0,
S2024-00129,BAL_01,Analytical_Balance,2024-01-07,Weigh,23.1,20.4,pass,AD,Reagent_A,0,Before_Automation,0,
S2024-00130,BAL_01,Analytical_Balance,2024-01-07,Endotoxin,14.6,29.8,pass,AD,Media_X,1,Before_Automation,0,
S2024-00131,PH_01,pH_Meter,2024-01-07,Assay,61.7,28.3,pass,BR,Media_Y,0,Before_Automation,0,
S2024-00132,PH_01,pH_Meter,2024-01-07,Impurity,25.4,35.3,pass,DG,Reagent_B,1,Before_Automation,0,
S2024-00133,HPLC_01,HPLC,2024-01-08,Weigh,45.0,41.3,pass,BR,Reagent_A,1,Before_Automation,0,
S2024-00134,HPLC_02,HPLC,2024-01-08,Impurity,40.9,29.9,pass,AD,Media_X,0,Before_Automation,0,
S2024-00135,HPLC_02,HPLC,2024-01-08,Assay,49.6,35.0,pass,AD,Reagent_B,0,Before_Automation,0,
S2024-00136,HPLC_02,HPLC,2024-01-08,Impurity,40.2,34.3,pass,DG,Media_Y,0,Before_Automation,0,
S2024-00137,HPLC_02,HPLC,2024-01-08,Impurity,37.9,25.2,pass,DG,Reagent_A,0,Before_Automation,0,
S2024-00138,UV_01,UV_Spectrometer,2024-01-08,Assay,38.2,35.4,pass,BR,Reagent_A,1,Before_Automation,0,
S2024-00139,UV_01,UV_Spectrometer,2024-01-08,Weigh,39.1,24.2,pass,AD,Reagent_B,0,Before_Automation,0,
S2024-00140,UV_01,UV_Spectrometer,2024-01-08,Assay,65.3,34.5,pass,CF,Media_Y,1,Before_Automation,0,
S2024-00141,BAL_01,Analytical_Balance,2024-01-08,Impurity,42.9,31.3,fail,BR,Reagent_B,0,Before_Automation,0,
S2024-00142,PH_01,pH_Meter,2024-01-08,Weigh,83.7,29.7,pass,CF,Reagent_B,0,Before_Automation,0,
S2024-00143,PH_01,pH_Meter,2024-01-08,Assay,45.7,24.5,pass,AD,Media_X,1,Before_Automation,0,
S2024-00144,PH_01,pH_Meter,2024-01-08,pH Check,39.7,30.8,pass,DG,Media_X,1,Before_Automation,0,
S2024-00145,LUM_01,Luminometer,2024-01-08,Impurity,46.3,26.2,pass,AD,Reagent_A,0,Before_Automation,0,
S2024-00146,HPLC_01,HPLC,2024-01-09,Endotoxin,46.3,27.5,pass,AD,Reagent_A,0,Before_Automation,0,
S2024-00147,HPLC_01,HPLC,2024-01-09,Impurity,38.3,25.1,pass,CF,Reagent_B,0,Before_Automation,0,
S2024-00148,HPLC_01,HPLC,2024-01-09,Impurity,41.3,25.5,pass,EL,Reagent_A,0,Before_Automation,0,
S2024-00149,HPLC_02,HPLC,2024-01-09,Endotoxin,47.8,33.7,pass,EL,Media_X,1,Before_Automation,0,
S2024-00150,HPLC_02,HPLC,2024-01-09,Weigh,41.7,31.1,pass,EL,Media_X,1,Before_Automation,0,
S2024-00151,HPLC_02,HPLC,2024-01-09,pH Check,41.3,35.9,pass,BR,Media_Y,0,Before_Automation,0,
S2024-00152,HPLC_02,HPLC,2024-01-09,Assay,43.6,35.9,pass,EL,Media_X,1,Before_Automation,0,
S2024-00153,HPLC_02,HPLC,2024-01-09,pH Check,39.4,30.0,pass,CF,Reagent_A,0,Before_Automation,0,
S2024-00154,HPLC_02,HPLC,2024-01-09,pH Check,70.5,29.8,fail,EL,Reagent_A,1,Before_Automation,0,
S2024-00155,HPLC_02,HPLC,2024-01-09,pH Check,42.8,29.4,pass,AD,Media_Y,1,Before_Automation,0,
S2024-00156,HPLC_02,HPLC,2024-01-09,Impurity,59.9,27.6,pass,EL,Media_X,0,Before_Automation,0,
S2024-00157,HPLC_02,HPLC,2024-01-09,Weigh,33.7,37.3,pass,AD,Reagent_B,0,Before_Automation,0,
S2024-00158,UV_01,UV_Spectrometer,2024-01-09,Weigh,42.4,18.8,pass,AD,Reagent_B,0,Before_Automation,0,
S2024-00159,UV_01,UV_Spectrometer,2024-01-09,Impurity,40.0,28.9,pass,CF,Media_Y,0,Before_Automation,0,
S2024-00160,UV_01,UV_Spectrometer,2024-01-09,Weigh,40.4,35.1,pass,CF,Reagent_B,0,Before_Automation,0,
S2024-00161,UV_01,UV_Spectrometer,2024-01-09,Weigh,29.4,23.7,pass,AD,Media_X,0,Before_Automation,0,
S2024-00162,UV_01,UV_Spectrometer,2024-01-09,Assay,34.1,35.9,pass,BR,Reagent_B,0,Before_Automation,0,
S2024-00163,BAL_01,Analytical_Balance,2024-01-09,Impurity,48.5,39.2,pass,AD,Reagent_B,0,Before_Automation,1,calibration
S2024-00164,BAL_01,Analytical_Balance,2024-01-09,Endotoxin,29.3,27.9,pass,AD,Media_X,1,Before_Automation,1,calibration
S2024-00165,BAL_01,Analytical_Balance,2024-01-09,Assay,31.3,31.3,pass,AD,Media_X,0,Before_Automation,1,calibration
S2024-00166,BAL_01,Analytical_Balance,2024-01-09,Assay,54.8,26.3,pass,CF,Media_X,0,Before_Automation,1,calibration
S2024-00167,BAL_01,Analytical_Balance,2024-01-09,Impurity,30.7,31.3,pass,CF,Media_Y,0,Before_Automation,1,calibration
S2024-00168,PH_01,pH_Meter,2024-01-09,Assay,57.2,33.0,pass,EL,Media_X,0,Before_Automation,0,
S2024-00169,PH_01,pH_Meter,2024-01-09,Endotoxin,39.0,21.1,pass,EL,Reagent_A,1,Before_Automation,0,
S2024-00170,PH_01,pH_Meter,2024-01-09,Endotoxin,20.0,29.2,pass,AD,Media_X,0,Before_Automation,0,
S2024-00171,LUM_01,Luminometer,2024-01-09,pH Check,63.8,33.7,pass,CF,Media_Y,0,Before_Automation,0,
S2024-00172,HPLC_01,HPLC,2024-01-10,Impurity,52.8,32.8,pass,AD,Reagent_A,1,Before_Automation,0,
S2024-00173,HPLC_01,HPLC,2024-01-10,Assay,48.7,29.4,pass,EL,Reagent_A,0,Before_Automation,0,
S2024-00174,HPLC_01,HPLC,2024-01-10,Weigh,45.2,28.1,pass,DG,Media_X,1,Before_Automation,0,
S2024-00175,HPLC_02,HPLC,2024-01-10,Impurity,58.6,30.5,pass,BR,Media_Y,1,Before_Automation,0,
S2024-00176,UV_01,UV_Spectrometer,2024-01-10,Assay,50.0,28.2,pass,DG,Reagent_B,0,Before_Automation,0,
S2024-00177,BAL_01,Analytical_Balance,2024-01-10,Impurity,25.2,31.6,pass,AD,Media_Y,1,Before_Automation,0,
S2024-00178,BAL_01,Analytical_Balance,2024-01-10,Impurity,38.0,31.3,pass,AD,Reagent_B,1,Before_Automation,0,
S2024-00179,BAL_01,Analytical_Balance,2024-01-10,Endotoxin,50.5,34.1,pass,CF,Media_Y,1,Before_Automation,0,
S2024-00180,BAL_01,Analytical_Balance,2024-01-10,Impurity,72.5,19.5,pass,DG,Media_X,0,Before_Automation,0,
S2024-00181,BAL_01,Analytical_Balance,2024-01-10,Assay,18.0,34.2,pass,AD,Reagent_A,0,Before_Automation,0,
S2024-00182,BAL_01,Analytical_Balance,2024-01-10,Endotoxin,48.0,29.7,pass,DG,Media_X,1,Before_Automation,0,
S2024-00183,BAL_01,Analytical_Balance,2024-01-10,Endotoxin,51.1,34.4,pass,AD,Reagent_B,0,Before_Automation,0,
S2024-00184,BAL_01,Analytical_Balance,2024-01-10,pH Check,49.8,31.7,pass,CF,Media_X,0,Before_Automation,0,
S2024-00185,PH_01,pH_Meter,2024-01-10,Assay,66.1,30.0,pass,BR,Media_X,1,Before_Automation,0,
S2024-00186,PH_01,pH_Meter,2024-01-10,pH Check,52.5,33.7,pass,BR,Media_Y,0,Before_Automation,0,
S2024-00187,PH_01,pH_Meter,2024-01-10,Impurity,45.5,35.6,pass,DG,Reagent_A,1,Before_Automation,0,
S2024-00188,PH_01,pH_Meter,2024-01-10,Weigh,26.9,24.1,pass,AD,Reagent_B,0,Before_Automation,0,
S2024-00189,PH_01,pH_Meter,2024-01-10,Impurity,49.9,35.4,pass,AD,Reagent_B,1,Before_Automation,0,
S2024-00190,PH_01,pH_Meter,2024-01-10,Assay,20.1,29.6,pass,DG,Reagent_B,0,Before_Automation,0,
S2024-00191,PH_01,pH_Meter,2024-01-10,Weigh,65.8,35.2,pass,EL,Media_Y,1,Before_Automation,0,
S2024-00192,LUM_01,Luminometer,2024-01-10,Endotoxin,45.4,27.4,pass,CF,Reagent_A,0,Before_Automation,0,
S2024-00193,LUM_01,Luminometer,2024-01-10,Impurity,39.9,35.0,pass,AD,Media_Y,0,Before_Automation,0,
S2024-00194,LUM_01,Luminometer,2024-01-10,Assay,40.2,25.3,fail,EL,Media_X,0,Before_Automation,0,
S2024-00195,LUM_01,Luminometer,2024-01-10,Assay,78.3,21.6,pass,BR,Reagent_A,0,Before_Automation,0,
S2024-00196,HPLC_01,HPLC,2024-01-11,Endotoxin,66.9,24.5,pass,AD,Reagent_A,1,Before_Automation,1,maintenance
S2024-00197,HPLC_01,HPLC,2024-01-11,Weigh,36.9,19.4,pass,DG,Media_Y,0,Before_Automation,1,maintenance
S2024-00198,HPLC_01,HPLC,2024-01-11,pH Check,46.7,40.4,pass,BR,Media_Y,1,Before_Automation,1,maintenance
S2024-00199,HPLC_01,HPLC,2024-01-11,Weigh,51.6,28.1,pass,AD,Reagent_A,1,Before_Automation,1,maintenance
S2024-00200,HPLC_02,HPLC,2024-01-11,Assay,59.8,31.8,pass,BR,Reagent_B,0,Before_Automation,0,
S2024-00201,HPLC_02,HPLC,2024-01-11,Impurity,42.5,31.2,pass,EL,Media_X,0,Before_Automation,0,
S2024-00202,HPLC_02,HPLC,2024-01-11,pH Check,44.6,29.8,pass,EL,Media_Y,1,Before_Automation,0,
S2024-00203,HPLC_02,HPLC,2024-01-11,pH Check,70.3,38.7,pass,CF,Media_Y,1,Before_Automation,0,
S2024-00204,HPLC_02,HPLC,2024-01-11,Impurity,54.5,27.9,pass,EL,Reagent_A,0,Before_Automation,0,
S2024-00205,HPLC_02,HPLC,2024-01-11,Assay,38.8,31.8,pass,EL,Reagent_B,0,Before_Automation,0,
S2024-00206,HPLC_02,HPLC,2024-01-11,Endotoxin,27.5,31.8,pass,EL,Reagent_A,0,Before_Automation,0,
S2024-00207,UV_01,UV_Spectrometer,2024-01-11,Weigh,33.0,32.9,pass,BR,Media_Y,0,Before_Automation,0,
S2024-00208,UV_01,UV_Spectrometer,2024-01-11,Assay,55.8,36.7,pass,CF,Media_X,0,Before_Automation,0,
S2024-00209,BAL_01,Analytical_Balance,2024-01-11,Weigh,36.7,31.8,pass,CF,Media_X,0,Before_Automation,0,
S2024-00210,BAL_01,Analytical_Balance,2024-01-11,Endotoxin,56.0,37.2,pass,EL,Media_X,0,Before_Automation,0,
S2024-00211,BAL_01,Analytical_Balance,2024-01-11,Impurity,39.6,40.2,pass,BR,Reagent_A,0,Before_Automation,0,
S2024-00212,BAL_01,Analytical_Balance,2024-01-11,pH Check,38.6,41.2,pass,AD,Reagent_A,1,Before_Automation,0,
S2024-00213,BAL_01,Analytical_Balance,2024-01-11,Weigh,58.4,32.3,pass,CF,Media_Y,0,Before_Automation,0,
S2024-00214,PH_01,pH_Meter,2024-01-11,Impurity,34.8,32.4,pass,AD,Reagent_A,0,Before_Automation,0,
